gene,category,base_mean_count,dispersion_alpha,deseq2_base_mean,de_log2_fc,de_pvalue,fdr,disease_sex_log2_fc,disease_sex_pvalue,disease_sex_fdr,mean_count,de_significant,neg_log10_fdr,lightgbm_gain,gain_rank,nonzero_gain
G215,noise,13.803952841632428,0.7519871592763047,12.679715177075355,0.020005938209320718,0.887374903045644,0.9563581110562596,0.2353619420238013,0.40456040460854725,0.8827516503265881,14.0875,False,0.019379454446189187,0.0,72,False
G216,noise,21.718726842574558,0.5143889310471723,19.098042158725903,-0.13298327556946532,0.29788692703110486,0.7447173175777622,0.03259676504730084,0.8985132183720494,0.9915857195058293,20.9375,False,0.1280085470012447,0.0,77,False
G217,noise,116.78834380217477,0.17706248506481867,111.53350091109769,-0.11442582177713642,0.10445883562911051,0.5057134105853762,-0.003042571559689126,0.9827844089675226,0.9976645118416818,121.28125,False,0.2960955295274228,0.0,76,False
G218,noise,57.901971529617555,0.2554351218489407,56.39586391056016,-0.003184094503504759,0.968219925374456,0.9843569241306969,0.18264671706238358,0.2524270522319645,0.8201535051288666,61.125,False,0.00684739946096815,0.0,79,False
G219,noise,42.62666135282226,0.311135465794675,38.99454686747998,-0.031116382729348902,0.7289933658370542,0.8905696636826905,-0.08617274911359106,0.6314427142653076,0.949730333487275,42.959375,False,0.050332102736797536,0.0,80,False
G220,noise,54.40674783764208,0.2654206575047888,50.93524353293769,0.006906748552112907,0.9305042655255111,0.9686136552398665,-0.20254623528624674,0.20011949826538578,0.8201535051288666,55.65,False,0.013849412686216594,0.0,81,False
G221,noise,39.458141907739936,0.3280898077016292,35.65294245865619,-0.17775358727411286,0.06232515986073958,0.39602445328178276,0.011860148330286273,0.9504331442533746,0.9976645118416818,38.784375,False,0.4022779969091791,0.0,83,False
G222,noise,223.9009975256861,0.14019633721804886,204.58543308320992,-0.060780207024946006,0.3216375066615993,0.7486989444578076,-0.18339281047488853,0.1337209482180282,0.7854205743087944,223.325,False,0.12569277915521565,0.0,71,False
G223,noise,28.47300114162661,0.41608891367767653,25.650626124256906,-0.03584335276483006,0.7481904996180775,0.8905696636826905,0.01939849607361924,0.930799183702862,0.9976645118416818,27.828125,False,0.050332102736797536,0.0,82,False
G224,noise,43.1681974337401,0.30848681517949217,39.367449294380904,-0.07630103303411905,0.4408225804443706,0.8340294915545284,0.19323395754342435,0.3285282848090877,0.8555733005205621,43.475,False,0.0788185922963813,6.0887898206710815,27,True
G225,noise,27.10706187825987,0.4320168021314803,25.36757052652605,-0.049680843867510864,0.666913721526682,0.8905696636826905,-0.30803477789538475,0.18126723201928419,0.8201535051288666,27.0875,False,0.050332102736797536,0.0,75,False
G226,noise,20.11679327593194,0.5473874079507367,19.525366626248854,-0.04357610997190944,0.7319404761212757,0.8905696636826905,0.07995576110987705,0.7533688152500642,0.9696851575762189,20.66875,False,0.050332102736797536,0.0,78,False
G227,noise,30.477910495375017,0.39529583405547897,29.21354335073581,-0.1378546202894853,0.19103549271447273,0.6587065207278172,-0.12263295256863928,0.560804421915921,0.9358342755640092,31.94375,False,0.18130803732956266,0.9550520181655884,58,True
G228,noise,149.40217821670902,0.16024008556920388,147.64289954306054,-0.09607374939779861,0.15901331462131674,0.5773697733274,0.10462327076136117,0.44292175958233637,0.8860517402346516,157.553125,False,0.23854595620301647,0.0,74,False
G229,noise,98.4079831113501,0.1914559948842399,86.30593419311617,0.005675110584022896,0.9387591466464807,0.9738827881876755,-0.16241726023110087,0.2709092612910238,0.8281508083405392,93.878125,False,0.011493309555151997,0.0,115,False
G230,noise,43.01683185073401,0.3092204286738153,39.13584754720899,0.06380250849941389,0.53637531922667,0.8672498071618504,-0.17600407133491552,0.39342074181387454,0.8732866983346651,42.196875,False,0.06185578805385135,0.0,100,False
G231,noise,66.3368008271646,0.23567129990861038,62.185388313267495,-0.08742893822054645,0.291904024242735,0.7357911354878857,0.06037679731064163,0.71596118219924,0.9696851575762189,67.590625,False,0.13324544867652321,0.0,117,False
G232,noise,80.31856132166875,0.21205379991750345,73.83307484395432,-0.03808410778780719,0.6135604998372348,0.8795137428969753,-0.0807130499498236,0.5925313571381473,0.949730333487275,80.2875,False,0.05575737005792281,0.0,148,False
G233,noise,105.36520157350876,0.18541719529403727,94.21186010979059,-0.05191654220674273,0.46782356691994065,0.8340294915545284,-0.019036654984313225,0.8941435967120935,0.9915857195058293,102.565625,False,0.0788185922963813,2.9915000200271606,38,True
G234,noise,123.16271910247636,0.1730740606052359,114.52075797237008,0.013792327429609385,0.8378349523264688,0.9394840458072535,-0.18280312842141536,0.17397818128906428,0.817161175346117,125.10625,False,0.027110590631794926,0.0,150,False
G235,noise,34.44717794132087,0.3612695883340886,32.21862987333277,-0.05732618238335645,0.5611371857178162,0.8688626627674554,-0.2119072675667858,0.28222716417302884,0.8314226744891592,35.315625,False,0.06104886511163171,0.0,151,False
G236,noise,85.51250316087938,0.2052477669033709,75.91012591399947,-0.06942053199170191,0.3738560822562411,0.7756877897153301,-0.0468306637100671,0.7642701565550811,0.9696851575762189,82.390625,False,0.1103130448340036,0.0818822979927063,70,True
G237,noise,115.46681732238666,0.17794447104982328,108.87955273242554,-0.16860891152243096,0.016754374049698442,0.15969012766118829,0.002733772814227891,0.9845337871823427,0.9976645118416818,118.73125,False,0.7967219319191083,0.0,152,False
